기기명,모델명
갤럭시A23,SM-A235
갤럭시A24,SM-A245
갤럭시A25,SM-A256
갤럭시A15,SM-A155
갤럭시탭S9 FE 플러스 5G, SM-X616N
갤럭시탭S9 FE 플러스 Wi-Fi, SM-X610
갤럭시탭S9 FE 5G, SM-X516N
갤럭시탭S9 FE Wi-Fi, SM-X510
갤럭시탭S6 Lite LTE, SM-P625
갤럭시탭S6 Lite Wi-Fi, SM-P620
갤럭시탭S9 울트라 5G, SM-X916N
갤럭시탭S9 울트라 Wi-Fi, SM-X910
갤럭시탭S9 플러스 Wi-Fi, SM-X810
갤럭시탭S9 플러스 5G, SM-X816N
갤럭시탭S9 Wi-Fi, SM-X710
갤럭시탭S9 5G, SM-X716N
갤럭시탭S8 울트라 5G, SM-X906N
갤럭시탭S8 울트라 Wi-Fi, SM-X900
갤럭시탭S8 플러스 Wi-Fi, SM-X800
갤럭시탭S8 플러스 5G, SM-X806N
갤럭시탭S8 Wi-Fi, SM-X700
갤럭시탭S8 5G, SM-X706N
갤럭시 워치6 클래식 47mm LTE,SM-R965
갤럭시 워치6 클래식 47mm 블루투스,SM-R960
갤럭시 워치6 클래식 43mm LTE,SM-R955
갤럭시 워치6 클래식 43mm 블루투스,SM-R950
갤럭시 워치6 44mm LTE,SM-R945N
갤럭시 워치6 44mm 블루투스,SM-R940
갤럭시 워치6 40mm LTE,SM-R935N
갤럭시 워치6 40mm 블루투스,SM-R930
갤럭시 워치5 프로,SM-R950
갤럭시 워치5 44mm,SM-R910
갤럭시 워치5 40mm,SM-R900
갤럭시 워치4 클래식 46mm,SM-R890
갤럭시 워치4 클래식 42mm,SM-R880
갤럭시 워치4 44mm,SM-R870
갤럭시 워치4 40mm,SM-R860
갤럭시Z 플립6,SM-F741
갤럭시Z 플립5,SM-F731
갤럭시Z 플립4,SM-F721
갤럭시Z 플립3,	SM-F711
갤럭시Z 폴드6,	SM-F956
갤럭시Z 폴드5,	SM-F946
갤럭시Z 폴드4,	SM-F936
갤럭시Z 폴드3,	SM-F926
갤럭시Z 폴드2,	SM-F917
갤럭시S25 울트라,	SM-S938
갤럭시S25 플러스 , SM-S936
갤럭시S25 , SM-S931
갤럭시S24 울트라,	SM-S928
갤럭시S24 플러스,	SM-S926
갤럭시S24,	SM-S921
갤럭시S23 울트라,	SM-S918
갤럭시S23 플러스,	SM-S916
갤럭시S23,	SM-S911
갤럭시A54,	SM-A546
갤럭시A34,	SM-A346
갤럭시A73,	SM-A736
갤럭시A53,	SM-A536
갤럭시A33,	SM-A336
갤럭시A52S,	SM-A528N
갤럭시A72 ,	SM-A725
갤럭시A52 ,	SM-A525
갤럭시A42 , SM-A426N
갤럭시A32 LTE,	SM-A325
갤럭시A32 5G,	SM-A326
갤럭시A22 5G,	SM-A226L
갤럭시A22s 5G,	SM-A528N
갤럭시A42 5G,	SM-A426N
갤럭시S22	,SM-S901N
갤럭시S22 플러스	,SM-S906N
갤럭시A32	,SM-A355
갤럭시A42	,SM-A426
갤럭시A12	,SM-A125
갤럭시S21	,SM-G991N
갤럭시S21 플러스	,SM-G996N
갤럭시S21 울트라	,SM-G998N
갤럭시S20 FE	,SM-G781N
갤럭시노트20	,SM-N981N
갤럭시노트20 울트라	,SM-N986N
갤럭시A31	,SM-A315
갤럭시A51	,SM-A516
갤럭시S20	,SM-G981
갤럭시S20 플러스	,SM-G986
갤럭시S20 울트라	,SM-G988
갤럭시Z플립	,SM-F700
갤럭시Z폴드	,SM-F907
갤럭시A90	,SM-A908
갤럭시노트10	,SM-N971
갤럭시노트10 플러스	,SM-N976
갤럭시A40	,SM-A405
갤럭시M20	,SM-M205
갤럭시A50	,SM-A505
갤럭시와이드 4	,SM-A205
갤럭시A80	,SM-A805
갤럭시A30	,SM-A305
갤럭시s10 5G	,SM-G977
갤럭시S10E	,SM-G970
갤럭시S10	,SM-G973
갤럭시S10 플러스	,SM-G975
갤럭시A9 Pro	,SM-G887
갤럭시A9(2018)	,SM-A920
갤럭시A7(2018)	,SM-A750
갤럭시노트9	,SM-N960
갤럭시A8스타	,SM-G885
갤럭시A6	,SM-A600
갤럭시J6	,SM-J600
갤럭시와이드3	,SM-J737
갤럭시J2 Pro	,SM-J250
갤럭시S9	,SM-G960
갤럭시S9 플러스	,SM-G965
갤럭시ON 7 prime	,SM-G611
갤럭시A8 (2018)	,SM-A530
갤럭시노트8	,SM-N950
갤럭시J3 (2017)	,SM-J330
갤럭시노트FE	,SM-N935
갤럭시J5 (2017)	,SM-J530
갤럭시S8	,SM-G950
갤럭시S8 플러스	,SM-G955
갤럭시A5 (2017)	,SM-A520
갤럭시ON 7 2016	,SM-G610
갤럭시A8(2016)	,SM-A810
갤럭시노트7	,SM-N930
갤럭시와이드	,SM-G600
갤럭시J3 (2016)	,SM-J320
갤럭시J5 (2016)	,SM-J510
갤럭시S7	,SM-G930
갤럭시S7 엣지	,SM-G935
갤럭시A3 (2016)	,SM-A310
갤럭시A5 (2016)	,SM-A510
갤럭시A7 2016	,SM-A710
갤럭시S6 엣지 플러스	,SM-G928
갤럭시노트5	,SM-N920
갤럭시A8	,SM-A800
갤럭시J5	,SM-J500
갤럭시S6	,SM-G920
갤럭시S6 엣지	,SM-G925
갤럭시노트4 S-LTE	,SM-N916
갤럭시A5	,SM-A500
갤럭시A7	,SM-A700
갤럭시줌2	,SM-C115L
갤럭시노트4	,SM-N910
갤럭시노트엣지	,SM-N915
갤럭시알파	,SM-G850
갤럭시K줌	,SM-C115
갤럭시S5 LTE-A	,SM-G906
갤럭시S5	,SM-G900
